month,Hamilton,Auckland,Kaitaia,Whangarei,Tauranga,Rotorua,Gisborne,Taupo,Plymouth,Napier,Wanganui,Palmerston,Masterton,Wellington,Nelson,Blenheim,Westport,Kaikoura,Hokitika,Christchurch,Cook,Tekapo,Timaru,Milford,Queenstown,Alexandra,Manapouri,Dunedin,Invercargill,Chatham
2-jan-10,18.4,19.1,19.5,19.9,19.4,17.7,19.2,17,17.8,19.5,18.3,17.8,18.1,16.9,17.8,18,16.3,16.4,15.6,17.5,14.7,15.2,15.9,14.7,15.8,18,14.7,15.3,14.2,14.9
1-feb-10,18.8,19.7,20,20.2,19.6,17.9,19.1,17.1,18,19.4,18.5,18.3,17.7,17.2,17.9,17.6,16.7,16.4,16,17.2,14.8,14.8,15.5,14.8,15.6,17.4,14.3,15,13.9,15.2
1-mar-10,17.1,18.4,18.6,18.8,18,16,17.5,14.9,16.8,17.7,17.1,16.4,16.3,15.8,16.1,15.8,15.3,15.1,14.5,15.5,12.3,12.4,13.8,13.3,13,14.9,12.1,13.7,12.5,14.3
1-apr-10,14.5,16.1,17,16.6,15.5,13.3,14.8,12,14.5,15,14.6,13.6,13.1,13.7,13.2,13,13.3,13,12.4,12.7,9.2,9.2,11,11,9.7,10.9,9.4,11.7,10.4,12.4
1-may-10,11.9,14,14.8,14.4,13.2,10.7,12.5,9.4,12.2,12.4,12.4,11.4,10.5,11.7,10.5,10.2,11.3,11.2,10.2,9.8,6.2,5.9,8.1,8.4,7,7.6,7,9.3,8,10.6
1-Jun-10,9.5,11.8,12.8,12.4,10.8,8.5,10.3,7.4,10.4,10,10.4,9.1,8.6,9.7,7.9,7.7,9.3,9,8.2,7.1,3.3,2.6,5.6,5.9,4.1,3.6,4.3,7.3,5.9,9.1
1-Jul-10,8.9,10.9,12.1,11.6,10.2,7.8,9.7,6.5,9.5,9.4,9.5,8.6,7.6,8.9,7.2,7,8.7,8.1,7.4,6.6,2.2,1.4,5,5.3,3,2.9,3.8,6.6,5.3,8.2
1-aug-10,9.8,11.3,12.2,11.9,10.7,8.4,10.4,7.2,10.3,10.3,10.2,9.2,8.4,9.4,8.4,8.2,9.3,8.8,8.4,7.9,3.9,3.6,6.5,6.9,5,6,5.1,7.7,6.6,8.6
1-sep-10,11.6,12.7,13.4,13.3,12.3,10.2,12,9.2,11.5,12.3,11.9,11,10.5,10.8,10.4,10.3,10.7,10.4,9.9,10.3,6.7,6.5,8.7,8.6,7.7,9.3,7.4,9.5,8.5,9.4
1-oct-10,13.2,14.2,14.5,14.6,13.9,12,13.9,11.1,12.8,14.3,13.3,12.4,12.3,12,12.4,12.2,11.8,11.7,11.1,12.2,8.9,8.8,10.4,10.1,9.8,11.7,9.2,10.9,9.9,10.6
1-nov-10,14.9,15.7,15.8,16.4,15.8,13.9,15.8,13.1,14.5,16.1,14.8,13.8,14.2,13.5,14.3,14.2,13.2,13.2,12.6,14.1,11,11.1,12.3,11.8,11.6,14,10.7,12.4,11.4,11.7
1-dec-10,16.9,17.8,17.9,18.5,18,16.2,18.1,15.6,16.3,18.4,16.9,16.2,16.4,15.4,16.4,16.5,15,15.2,14.4,16.1,12.8,13.2,14.4,13.4,14,16.3,13,13.9,13,13.5
